title,company,location,apply_url,score,what_fits,whats_missing,why_apply,visa_note,saved_at,status,applied_date,notes
DevOps Engineer | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/devops-engineer-remote-at-crossing-hurdles-4385245633?position=3&pageNum=0&refId=vOJHI7irVvJ11WxHmjKkPg%3D%3D&trackingId=uO5ASuPn2lYClaKqnB2fzA%3D%3D,7,"AWS, Terraform, Docker, Kubernetes, Helm, Prometheus, Grafana","Azure, Jenkins, Ansible",Opportunity to work remotely and contribute to the development of a cloud-based platform,Not mentioned,2026-04-07 12:26,,,
Remote Jr DevOps Engineer,Addison Group,United States,https://www.linkedin.com/jobs/view/remote-jr-devops-engineer-at-addison-group-4394743281?position=8&pageNum=0&refId=vOJHI7irVvJ11WxHmjKkPg%3D%3D&trackingId=kCb1dJhHKmQOYf6FgiIj9A%3D%3D,7,"AWS, Terraform, Docker, Kubernetes, Helm, Prometheus, Grafana","Azure, Jenkins, Ansible",Opportunity to work remotely and contribute to the development of a cloud-based platform,Not mentioned,2026-04-07 12:26,,,
Machine Learning Engineer (MLOps / AI Infrastructure),Prosum,United States,https://www.linkedin.com/jobs/view/machine-learning-engineer-mlops-ai-infrastructure-at-prosum-4394772925,7,"Python, Cloud, MLOps, AI Infrastructure","TensorFlow, PyTorch",Opportunity to work on MLOps and AI infrastructure,Not mentioned,2026-04-07 12:26,,,
Associate Software Engineer,Morgan Stanley,United States,https://www.linkedin.com/jobs/view/associate-software-engineer-at-morgan-stanley-4386890681,6,"Python, Cloud, CI/CD pipelines","Java, C++, Agile development methodologies",Opportunity to work on a team that develops and maintains large-scale financial systems,Not mentioned,2026-04-07 12:26,,,
Software Engineer 2 - Insider Risk,Abnormal AI,United States,https://www.linkedin.com/jobs/view/software-engineer-2-insider-risk-at-abnormal-ai-4373650046,6,"Python, AWS","Go language, Kubernetes",Chance to work on a unique project and develop skills in software engineering,Not mentioned,2026-04-07 12:26,,,
ML/AI Engineer,Ludo Robotics,United States,https://www.linkedin.com/jobs/view/ml-ai-engineer-at-ludo-robotics-4386375988,6,"Python, Cloud, AI","ROS, Computer Vision",Chance to work on AI and machine learning,Not mentioned,2026-04-07 12:26,,,
DevOps Engineer,SES Corporation,United States,https://www.linkedin.com/jobs/view/devops-engineer-at-ses-corporation-4398308536,8,"CI/CD pipelines, Terraform, AWS, Kubernetes, Prometheus, Grafana","Ansible, Docker Swarm",Implement and maintain CI/CD pipelines using Terraform and AWS,not mentioned,2026-04-07 12:40,,,
Remote Jr DevOps Engineer,Addison Group,United States,https://www.linkedin.com/jobs/view/remote-jr-devops-engineer-at-addison-group-4394743281,6,"CI/CD pipelines, Terraform, AWS, Kubernetes, Prometheus, Grafana","Ansible, Docker Swarm, ELK Stack, Jenkins",Assist in designing and implementing CI/CD pipelines using Terraform and AWS,not mentioned,2026-04-07 12:40,,,
"Software Engineer, Backend",Tessera Labs,United States,https://www.linkedin.com/jobs/view/software-engineer-backend-at-tessera-labs-4330680592,6,"Python, cloud skills, automation tools","Go language, Kubernetes, Docker",Chance to work on a backend team and develop scalable and efficient software solutions,not mentioned,2026-04-07 12:40,,,
Cloud DevOps Engineer – AWS | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/cloud-devops-engineer-%E2%80%93-aws-remote-at-crossing-hurdles-4394777300?position=6&pageNum=0&refId=xPn3qHU3oONjNyFHXNOMeA%3D%3D&trackingId=8f%2FW8eicHRHJpzlirVScfQ%3D%3D,8,"AWS, Kubernetes, Terraform, CI/CD, Prometheus, Grafana, Python","Ansible, Docker Swarm",Opportunity to work remotely and contribute to the development of a cloud-based platform,Not mentioned,2026-04-07 13:08,,,
Jr Devops Engineer,OVA.Work,United States,https://www.linkedin.com/jobs/view/jr-devops-engineer-at-ova-work-4398356898?position=1&pageNum=0&refId=xPn3qHU3oONjNyFHXNOMeA%3D%3D&trackingId=CQ4TnqP%2FTEkf48Sd0Z6%2BYQ%3D%3D,7,"Python, Terraform, AWS, Kubernetes, Helm, CI/CD","Ansible, Docker Swarm",Opportunity to work with a growing company and contribute to the development of their DevOps practices,Not mentioned,2026-04-07 13:08,,,
DevOps Engineer,SES Corporation,United States,https://www.linkedin.com/jobs/view/devops-engineer-at-ses-corporation-4398308536?position=2&pageNum=0&refId=xPn3qHU3oONjNyFHXNOMeA%3D%3D&trackingId=aoOuZHDkzaIsC7eQs%2BhDmA%3D%3D,7,"AWS, Kubernetes, Terraform, CI/CD, Prometheus, Grafana","Azure, Jenkins",Chance to work with a team that values innovation and is committed to delivering high-quality solutions,Not mentioned,2026-04-07 13:08,,,
DevOps Engineer | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/devops-engineer-remote-at-crossing-hurdles-4385245633?position=3&pageNum=0&refId=xPn3qHU3oONjNyFHXNOMeA%3D%3D&trackingId=0DPzmyIBZia3obYNkqN96A%3D%3D,7,"Python, AWS, Kubernetes, Terraform, CI/CD, Prometheus, Grafana","Ansible, Docker Swarm",Opportunity to work remotely and contribute to the development of a cloud-based platform,Not mentioned,2026-04-07 13:08,,,
Cloud DevOps Engineer,ArcheSys Inc,United States,https://www.linkedin.com/jobs/view/cloud-devops-engineer-at-archesys-inc-4398344105?position=5&pageNum=0&refId=xPn3qHU3oONjNyFHXNOMeA%3D%3D&trackingId=u9S3%2FMtpWD7%2Bb4t0GMcnqA%3D%3D,7,"AWS, Kubernetes, Terraform, CI/CD, Prometheus, Grafana","Azure, Jenkins",Chance to work with a team that values innovation and is committed to delivering high-quality solutions,Not mentioned,2026-04-07 13:08,,,
Remote Jr DevOps Engineer,Addison Group,United States,https://www.linkedin.com/jobs/view/remote-jr-devops-engineer-at-addison-group-4394743281?position=7&pageNum=0&refId=xPn3qHU3oONjNyFHXNOMeA%3D%3D&trackingId=U8l2%2FvyrnNVyAtP%2FnmOidw%3D%3D,7,"AWS, Kubernetes, Terraform, CI/CD, Prometheus, Grafana","Azure, Jenkins",Opportunity to work remotely and contribute to the development of a cloud-based platform,Not mentioned,2026-04-07 13:08,,,
"Software Engineer, Early Career",Mirage,United States,https://www.linkedin.com/jobs/view/software-engineer-early-career-at-mirage-4398063533,7,"Python, Cloud skills","Go language, specific experience with containerization",Opportunity to work on cloud-based infrastructure,Not mentioned,2026-04-07 13:08,,,
Cloud Engineer I,Paradies Lagardère,United States,https://www.linkedin.com/jobs/view/cloud-engineer-i-at-paradies-lagard%C3%A8re-4374518259,6,"Cloud, Python, CI/CD","AWS CloudFormation, Azure",Chance to work with cloud infrastructure,not mentioned,2026-04-07 13:08,,,
Software Engineer I,Vertafore,United States,https://www.linkedin.com/jobs/view/software-engineer-i-at-vertafore-4385611094,6,"Python, Fast API, Postgre SQL, Docker","Java, Spring Boot, Angular",Chance to work on software development projects using Python and cloud technologies,not mentioned,2026-04-07 13:08,,,
Cloud DevOps Engineer – AWS | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/cloud-devops-engineer-%E2%80%93-aws-remote-at-crossing-hurdles-4394777300?position=4&pageNum=0&refId=CnrG4BTEiI%2BcBRx6ot5MNA%3D%3D&trackingId=KmhWmeuzj7csMZMsglKAaA%3D%3D,9,"AWS, Terraform, CI/CD pipelines, Kubernetes, Helm, Prometheus, Grafana",AWS CloudFormation,Opportunity to work on AWS cloud infrastructure and DevOps tools,Not mentioned,2026-04-07 14:33,,,
Jr Devops Engineer,OVA.Work,United States,https://www.linkedin.com/jobs/view/jr-devops-engineer-at-ova-work-4398356898?position=1&pageNum=0&refId=CnrG4BTEiI%2BcBRx6ot5MNA%3D%3D&trackingId=7TZEjxku9o%2Fpdz88uviTEw%3D%3D,8,"CI/CD pipelines, Terraform, AWS, Kubernetes, Helm, Prometheus, Grafana","Ansible, Docker Swarm",Opportunity to work on cloud infrastructure and DevOps tools,Not mentioned,2026-04-07 14:33,,,
Cloud DevOps Engineer,ArcheSys Inc,United States,https://www.linkedin.com/jobs/view/cloud-devops-engineer-at-archesys-inc-4398344105?position=5&pageNum=0&refId=CnrG4BTEiI%2BcBRx6ot5MNA%3D%3D&trackingId=Il5QPW1rskQOx0kNQgU0AQ%3D%3D,8,"CI/CD pipelines, Terraform, AWS, Kubernetes, Helm, Prometheus, Grafana",Azure DevOps,Opportunity to work on cloud infrastructure and DevOps tools,Not mentioned,2026-04-07 14:33,,,
DevOps Engineer,"BioIntelliSense, Inc",United States,https://www.linkedin.com/jobs/view/devops-engineer-at-biointellisense-inc-4398337691?position=7&pageNum=0&refId=CnrG4BTEiI%2BcBRx6ot5MNA%3D%3D&trackingId=kwfcQua0NuvqwjdmugFXOQ%3D%3D,7,"CI/CD pipelines, Terraform, AWS, Kubernetes, Helm, Prometheus, Grafana","Docker, Jenkins",Opportunity to work on cloud infrastructure and DevOps tools,Not mentioned,2026-04-07 14:33,,,
DevOps Engineer | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/devops-engineer-remote-at-crossing-hurdles-4385245633?position=8&pageNum=0&refId=CnrG4BTEiI%2BcBRx6ot5MNA%3D%3D&trackingId=PR9UiGoowJlnfgWrreXeEg%3D%3D,7,"CI/CD pipelines, Terraform, AWS, Kubernetes, Helm, Prometheus, Grafana","Ansible, Puppet",Opportunity to work on cloud infrastructure and DevOps tools,Not mentioned,2026-04-07 14:33,,,
Associate Software Engineer,The Value Maximizer,United States,https://www.linkedin.com/jobs/view/associate-software-engineer-at-the-value-maximizer-4398523665,6,"Python, Cloud, automation","specific experience with Agile development, containerization",Chance to work on automation projects,not mentioned,2026-04-07 14:33,,,
DevOps Engineer I,RevSpring,United States,https://www.linkedin.com/jobs/view/devops-engineer-i-at-revspring-4397188721,7,"CI/CD pipelines, Terraform, AWS, Kubernetes","Azure DevOps, Jenkins",Chance to work on cloud-based infrastructure and automation,Not mentioned,2026-04-07 15:01,,,
"Software Engineer, Early Career",Mirage,United States,https://www.linkedin.com/jobs/view/software-engineer-early-carey-at-mirage-4398063533,7,"Python, Cloud skills","Java, Spring Boot",Opportunity to work on cloud-based projects,Not mentioned,2026-04-07 15:01,,,
"Software Engineer, ML Platform Infrastructure",Nuro,United States,https://www.linkedin.com/jobs/view/software-engineer-ml-platform-infrastructure-at-nuro-4395485014,7,"Python, Cloud, CI/CD","Go language, Kubernetes experience",Build and maintain large-scale machine learning infrastructure,not mentioned,2026-04-07 15:01,,,
DevOps Engineer – Kubernetes | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/devops-engineer-%E2%80%93-kubernetes-remote-at-crossing-hurdles-4394772407,8,"Kubernetes, DevOps, CI/CD pipelines, Terraform, AWS",None mentioned,Chance to work on Kubernetes infrastructure and improve deployment efficiency,No sponsorship information mentioned,2026-04-07 20:06,,,
Site Reliability Engineer,CardioOne,United States,https://www.linkedin.com/jobs/view/site-reliability-engineer-at-cardioone-4397064066,7,"DevOps experience, Cloud, AWS, Terraform, Docker, Kubernetes",Specific experience with CardioOne's healthcare industry and SRE practices,Chance to ensure high availability and reliability of CardioOne's systems,Not mentioned,2026-04-07 20:06,,,
DevOps Engineer - Entry Level,Talent Glider,United States,https://www.linkedin.com/jobs/view/devops-engineer-entry-level-at-talent-glider-4395479988,8,"DevOps experience, Python, Terraform, AWS, Kubernetes, CI/CD pipelines",Specific mention of Agile methodologies or IT service management,Entry-level position with opportunities for growth and development,Not mentioned,2026-04-07 22:26,Interested,,
Azure Cloud/DevOps Engineer,LightFeather,United States,https://www.linkedin.com/jobs/view/azure-cloud-devops-engineer-at-lightfeather-4398912005,8,"Azure experience, DevOps, Python, Terraform, CI/CD pipelines",Specific mention of Azure Active Directory or Azure Policy,Opportunity to work on designing and implementing Azure-based cloud solutions,Not mentioned,2026-04-07 22:26,Interested,,
DevOps Engineer,LightFeather,United States,https://www.linkedin.com/jobs/view/devops-engineer-at-lightfeather-4398594840,7,"DevOps experience, Python, Terraform, AWS, Kubernetes, CI/CD pipelines","Specific mention of cloud security, compliance, or cost optimization",Chance to work on deploying and managing applications on cloud platforms,Not mentioned,2026-04-07 22:26,Interested,,
